text,category
"There has been no water supply in our area for three days and elderly people are facing problems.",Water Supply
"Main underground water pipe burst near civic center flooding the road.",Water Supply
"Drinking water coming out with dirty brown mud and foul smell from tap.",Water Supply
"Water pressure is extremely low on upper floors in block C.",Water Supply
"Severe sewage water mixing with municipal drinking water pipeline.",Water Supply
"Water tanker did not arrive today as per the scheduled distribution.",Water Supply
"Broken water valve leaking hundreds of liters of clean water daily.",Water Supply
"Contaminated tap water causing stomach infections in our residential society.",Water Supply
"Public water cooler is broken and not dispensing drinking water.",Water Supply
"No drinking water in ward 8 for the past 48 hours without prior notice.",Water Supply
"Pipeline leakage in front of house 42 causing waterlogging.",Water Supply
"Water supply valve jammed, entire lane receiving zero water.",Water Supply
"Deep pothole on main road causing severe traffic jam and bike accidents.",Roads/Potholes
"Road surface completely eroded after rains, asphalt has washed away.",Roads/Potholes
"Huge crater on Grand Trunk Road near metro pillar 140.",Roads/Potholes
"Open manhole cover on walking footpath, extreme danger for children at night.",Roads/Potholes
"Footpath tiles broken and missing along the market avenue.",Roads/Potholes
"Speed breaker is unmarked and causes dangerous vehicle jumps at night.",Roads/Potholes
"Road divider broken and debris scattered on fast lane.",Roads/Potholes
"Caved-in road near bus stop posing risk of bus overturning.",Roads/Potholes
"Unfinished road construction left with loose gravel causing two-wheeler skids.",Roads/Potholes
"Potholes on flyover descent creating hazard for high-speed traffic.",Roads/Potholes
"Street dug up for cables six months ago and never resurfaced.",Roads/Potholes
"Broken kerb stones spilling soil onto the roadway.",Roads/Potholes
"Street lights are not working on 5th main road making it completely dark and unsafe.",Electricity/Street Lights
"High voltage electric wire snapped and hanging loose near playground.",Electricity/Street Lights
"Transformer sparking and emitting loud humming noise in residential sector.",Electricity/Street Lights
"Power outage for more than 12 hours during hot afternoon.",Electricity/Street Lights
"Street light pole is leaning dangerously over the pedestrian pathway.",Electricity/Street Lights
"Frequent voltage fluctuations burning out home appliances in society.",Electricity/Street Lights
"Electric meter box opened with exposed live wires near public park.",Electricity/Street Lights
"Dark alleyway with all 6 street lamps broken for the last month.",Electricity/Street Lights
"Underground cable fault causing localized blackout in block B.",Electricity/Street Lights
"Streetlight remains on during bright daylight wasting municipal power.",Electricity/Street Lights
"Electric pole damaged by delivery truck, hanging precariously.",Electricity/Street Lights
"Short circuit in distribution box cutting off power to street lights.",Electricity/Street Lights
"Garbage not collected for 4 days, trash bins overflowing on sidewalk.",Sanitation/Waste
"Dead animal carcass lying on roadside causing foul odor and health hazard.",Sanitation/Waste
"Illegal commercial dumping of plastic and debris in vacant public plot.",Sanitation/Waste
"Street sweeping has not been done in our lane for over two weeks.",Sanitation/Waste
"Drain clogged with plastic bags causing filthy black water to back up.",Sanitation/Waste
"Public trash bin broken and garbage spilling across the walkway.",Sanitation/Waste
"Stagnant dirty water pool breeding mosquitoes and spreading stench.",Sanitation/Waste
"Biomedical waste dumped openly behind local clinic.",Sanitation/Waste
"Open community dumpster overflowing onto main road attracting stray animals.",Sanitation/Waste
"Sanitation workers dumping collected silt back into open drainage.",Sanitation/Waste
"Rotting vegetable waste from market dumped near school boundary wall.",Sanitation/Waste
"Public toilet in market area filthy, choked and without running water.",Sanitation/Waste
"Traffic signals at main intersection malfunctioning causing chaotic gridlock.",Traffic
"Illegal parking blocking entire lane and emergency ambulance exit.",Traffic
"Traffic lights blinking yellow during peak morning hours causing near misses.",Traffic
"Missing pedestrian crossing zebra lines at high-traffic school junction.",Traffic
"Encroachment on road by street vendors causing acute traffic congestion.",Traffic
"No traffic police deployed at heavily congested ring road roundabout.",Traffic
"Damaged traffic sign board confusing motorists on one-way lane.",Traffic
"Reckless heavy vehicles speeding in residential school zone without speed breakers.",Traffic
"Bus stop shelter broken and buses stopping in middle of road blocking traffic.",Traffic
"Wrong-way driving rampant due to lack of median barrier.",Traffic
"Primary health center running without doctor and basic fever medicines.",Healthcare
"Mosquito fogging needed urgently due to sudden surge in dengue cases.",Healthcare
"Hospital emergency entrance blocked by construction materials.",Healthcare
"Ambulance service non-responsive on emergency helpline.",Healthcare
"Stray dog menace with multiple bite incidents reported in park.",Healthcare
"Lack of basic sanitation and hygiene inside community dispensary.",Healthcare
"No vaccines available at local maternity and child welfare center.",Healthcare
"Dead rats and medical syringes found in neighborhood drainage.",Healthcare
"Primary school building has broken window panes and ceiling plaster falling.",Education
"No drinking water facility and dirty washrooms in government school.",Education
"Public school boundary wall collapsed creating safety issue for children.",Education
"Desks and benches broken in civic elementary school classroom.",Education
"Loud speakers and commercial noise disturbing school examinations nearby.",Education
"School playground filled with stagnant rainwater and construction debris.",Education
"Public park benches broken and grass overgrown with thorny weeds.",Other
"Excessive noise pollution from illegal nightclub operating late night.",Other
"Stray cattle wandering on highway creating accident risks.",Other
"Encroachment of public walkway by illegal temporary tea stalls.",Other
"Fallen tree branches blocking the lane after heavy rainstorm.",Other
"Civic community hall is locked and unavailable for public booking.",Other
